UB 127 x 76 x 13,13.0,127.0,76.0,4.0,7.6,473,55.7,74.6,14.7,16.5
UB 152 x 89 x 16,16.0,152.4,88.7,4.5,7.7,834,89.8,109,20.2,20.3
UB 178 x 102 x 19,19.0,177.8,101.2,4.8,7.9,1360,137,153,27,24.3
UB 203 x 102 x 23,23.1,203.2,101.8,5.4,9.3,2100,164,207,32.2,29.4
UB 203 x 133 x 25,25.1,203.2,133.2,5.7,7.8,2340,308,230,46.2,32.0
UB 254 x 102 x 22,22.0,254.0,101.6,5.7,6.8,2840,119,224,23.5,28.0
UB 203 x 133 x 30,30.0,206.8,133.9,6.4,9.6,2900,385,280,57.5,38.2
UB 254 x 102 x 25,25.2,257.2,101.9,6.0,8.4,3410,149,266,29.2,32.0
UB 254 x 102 x 28,28.3,260.4,102.2,6.3,10.0,4000,179,308,34.9,36.1
UB 254 x 146 x 31,31.1,251.4,146.1,6.0,8.6,4410,448,351,61.3,39.7
UB 305 x 102 x 25,24.8,305.1,101.6,5.8,7.0,4460,123,292,24.2,31.6
UB 305 x 102 x 28,28.2,308.7,101.8,6.0,8.8,5370,155,348,30.5,35.9
UB 254 x 146 x 37,37.0,256.0,146.4,6.3,10.9,5540,571,433,78,47.2
UB 305 x 102 x 33,32.8,312.7,102.4,6.6,10.8,6500,194,416,37.9,41.8
UB 254 x 146 x 43,43.0,259.6,147.3,7.2,12.7,6540,677,504,92,54.8
UB 305 x 127 x 37,37.0,304.4,123.4,7.1,10.7,7170,336,471,54.5,47.2
UB 305 x 127 x 42,41.9,307.2,124.3,8.0,12.1,8200,389,534,62.6,53.4
UB 356 x 127 x 33,33.1,349.0,125.4,6.0,8.5,8250,280,473,44.7,42.1
UB 305 x 165 x 40,40.3,303.4,165.0,6.0,10.2,8500,764,560,92.6,51.3
UB 305 x 127 x 48,48.1,311.0,125.3,9.0,14.0,9570,461,616,73.6,61.2
UB 305 x 165 x 46,46.1,306.6,165.7,6.7,11.8,9900,896,646,108,58.7
UB 356 x 127 x 39,39.1,353.4,126.0,6.6,10.7,10200,358,576,56.8,49.8
UB 305 x 165 x 54,54.0,310.4,166.9,7.9,13.7,11700,1060,754,127,68.8
UB 356 x 171 x 45,45.0,351.4,171.1,7.0,9.7,12100,811,687,94.8,57.3
UB 406 x 140 x 39,39.0,398.0,141.8,6.4,8.6,12500,410,629,57.8,49.7
UB 356 x 171 x 51,51.0,355.0,171.5,7.4,11.5,14100,968,796,113,64.9
UB 406 x 140 x 46,46.0,403.2,142.2,6.8,11.2,15700,538,778,75.7,58.6
UB 356 x 171 x 57,57.0,358.0,172.2,8.1,13.0,16000,1110,896,129,72.6
UB 406 x 140 x 53 ,53.3,406.6,143.3,7.9,12.9,18300,635,899,88.6,67.9
UB 406 x 178 x 54,54.1,402.6,177.7,7.7,10.9,18700,1020,930,115,69.0
UB 356 x 171 x 67,67.1,363.4,173.2,9.1,15.7,19500,1360,1070,157,85.5
UB 457 x 152 x 52,52.3,449.8,152.4,7.6,10.9,21400,645,950,84.6,66.6
UB 406 x 178 x 60,60.1,406.4,177.9,7.9,12.8,21600,1200,1060,135,76.5
UB 406 x 178 x 67,67.1,409.4,178.8,8.8,14.3,24300,1360,1190,153,85.5
UB 457 x 152 x 60,59.8,454.6,152.9,8.1,13.3,25500,795,1120,104,76.2
UB 406 x 178 x 74,74.2,412.8,179.5,9.5,16.0,27300,1550,1320,172,94.5
UB 457 x 152 x 67,67.2,458.0,153.8,9.0,15.0,28900,913,1260,119,85.6
UB 457 x 191 x 67,67.1,453.4,189.9,8.5,12.7,29400,1450,1300,153,85.5
UB 406 x 178 x 85,85.3,417.2,181.9,10.9,18.2,31700,1830,1520,201,109
